,remarks,label
2074,visit kostan kosong penjaga info blm pada balik,other rent house
92,ybs sudah melakukan pembayaran secara online sebesar 2.600.000,unknown
1878,visit alamat survey kons namun kons tdk ada ditempat dan pindah kost fam cba fub via WA kons mengaku masih dijawa fam cba pres bayar max tgl 20,other rent house
146,konsumen sdh bayar angsuran hari ini via tf.,unknown
595,rumah sepi byphone fam tegaskan maksimal besok,house
1169,visit temu janji di mawar ybs sudah bayar via alfa,others
1700,Visit ke alamat kantor kons di perum Cityland sumber informasi dr karyawan kons tdk ada di tempat sedang jum'atan.kronologis masih sesuai kons sudah tdk mampu bayar angsuran dan bersedia mengembalikan unit ke BFI dg minta biaya kompensasi dr BFIsudah di validasi oleh BAMH dan sudah dealan juga perihal nominal biaya kompensasi nya.,office
132,ketemu orang tuadebitur kerja di luar kotajb tgl 13,unknown
1390,visit ke tempat kerja konsumen janji bayar,office
1074,visit ke almat lain fu byphone kons masih usahakan dana dalam penekanan revisit.,others
1834,visit ke kost milik debitur. debitur sedang kluar kota konfirmasi by wa jb current di tgl 12. unit ada debitur ada,other rent house
2350,"visit ke alamat keluarga, sudah melakukan transaksi lewat Alfamart terdekat",other family house
3101,"Visit ke tempat usaha kons dalam keadaan tutup, info security kons biasanya ada di pagi hari, konsumen mengusahakan akhir bulan.",business location
3058,"Visit ke tempat usaha konsumen, konsumen berjanji bayar tanggal 29, namun sementara menggumpulkan dana dari usaha sembako.",business location
630,"penginputan di lakukan di wilayah lemito sebab di rumah kons tdk ada jaringan
jb hari ini oleh pasangan",house
674,"visit fu ulang .
rumah ke adaan sepi .
info fia tlpm ybs sedang diperjalana acara adiknya mau nikahanan di daerah sumatra .info ansuran ybs masih tunggu uang pencairan BPJS .
masih dalam negosiasi .follow up ulang",house
767,rumah konsumen sepi lingkungan sepi dihubungi tidak ada respon ,house
3000,"Kons bertemu di tempat usaha, unit terlihat kapasitas minim dan masih berusaha sebelum jatuh tempo.",business location
1499,visit di bangsal tempat kerja tetapi tidak ada orang by phone konsumen lagi di tinanggea lagi berduka mertuanya meninggal dunia dan mslah pembayaran akan diusahakan besok pembayaran pulang dari melayat jika tidak ada motor akan di serahkan,office
344,kons masi menunggu uang dari pemakai dana dari ponakan kons,unknown
2733,visit ketempat usaha bertemu kons jb tgl 15 menunggu tagihan kons keluar,business location
1589,visit ke tempat kerja PK di kantor Telkom Tulungagung pk sebagai satpam press pk jb tanggal 23,office
2280,000 jb kunjugan ke rumah suami sudah meningal dunia pk tidak pernah tempat suami unit tidak ada kapasitas minim karakter badd rumah kosong pindah alamat plan pelacakan teruss,other family house
1473,visit ke tmpat kerja anak pemakai dana unit tdk terlihat bertemu dengan anak pemakai dana. Info pemakai dana ybs dan sodaranya selaku pemakai dana namun bayar pling bnyak sodaranya. Fam hubungi pemakai dana blm ada respon. Info dri anaknya bhwa akan masukkan dana tgl 30 dan ada kmngkinan dilunasi. Fu kmbali,office
1152,ktemuan di alfa oh partial sisanya tgl 30,others
2019,bertemu dengan konsumen di kost2an JB pembayaran tanggal 27  ybs sedang mencari dana,other rent house
287,konsumen di manado masih menunggu dana tambahan dari orangtua,unknown
3139,"Visit ke tmpt usaha, konsumen ingkar janji.",business location
1284,fu by phone cod di Alfamart byr 2 angsuran ,others
775,rumah kosong. by phone janji bayar tanggal 15/7. unit ada di kons. kendala menunggu gaji kons. akan di fu kembali.,house
2062,kunjungan kost sementara db sdh pindah lacak ulang,other rent house
2495,pembayaran partial di Alfamart terdekat telah dilakukan konsumen saat kunjungan ke alamat mertua,other family house
920,unit ada.. ketemu dngn ybs d pom bensin maskar patokbeusi.. ybs pres bayar d tgl 07 February..,others
189,ram akan pastikan. unit di PKK ponakan dan d jual putus,unknown
515,visit di alamat debitur ketemu dengan keluarga plan visit di alamat debitur domisili maybrat ayamaru unit di pakai debitur,house
2080,vsit tempat kost db bayar 1.324.500 via pp,other rent house
114,"Follow up by phone dan wa
konsumen ada janji bayar untuk kontrak ini dan kontrak satunya 
maksimal di tanggal 10 sesuai dengan gajian konsumen fu",unknown
2950,visit di alamat usaha kons masih mengusahakan dananya,business location
1401,visit tempat kerja kons.kons tdak ada Fu phone kons blum merespon.fam akan visit kembali,office
2457,"visit ke rumah mertua konsumen, pembayaran oleh konsumen di payment point Alfamart",other family house
952,visit di alamat lain kons orang kota tapi menikah di gorut??rumah tutup sebelumnya sudah bayar di tanggal 3 belum ada JB kembali akan visit kembali,others
1223,bertemu konsumen di indomaret janji bayar tanggal 18/01/2024,others
1398,fam visit ke alamat kerja ybs konsumen kerja sebagai supir dan ybs ditugaskan kerja dibsd tapi fam tanya karyawan sini kurang begitu tau alamat lengkanya fam akan lacak kembali.,office
704,rumah kons sepiinfo ttga ada drumah tp TDK kluarby phon juga blm respon revisit sore ,house
366,Kon melakukan pembayaran via pp,unknown
2415,"berkunjung ke alamat saudara kons, sudah bayar melalui Alfamart",other family house
1708,info dr ibu nya (tidak mau di foto) ybs sedang kerja. komunikasi via phone dgn ybs. info unit hilang dr 4 bln lalu. ybs sudah ke kantor cabang terkait memberikan berkas2 dan kunci nya namun blm ada info terbaru sampai saat ini dr cabang nya. (menggantung) kons sendiri minta pelsus,office
2961,tagih almt usaha ybs sedang mengusahakan dana,business location
2914,Visit di tempat jualan masih mengusahakan pantau,business location
2028,ketemy kons di kostnya byr partial  infonya unit di gadai,other rent house
113,Fu lewat by phone dan WhatsApp belum ada kepastian dari konsumen untuk pembayaran ,unknown
2205,"Visit ke alamat kosan, bertemu konsumen, uang masih kurang, pressing pembayaran segera.",other rent house
2064,tag loc error karna visit tempat kost beda alamat,other rent house
270,konsumen mengandalkan gajih suami sebgai kurir paket jb tanggal 16,unknown
1472,visit ketempat kerja kons dan kons jb via pp,office
486,visit di rmh ybs td siang. tetapi ketika mau ngisi smc hp drop. dan baru bisa isi sekarang di rmh..,house
672,"konsumen tdk ada di rumah.
sebelumnya konsumen ada janji bayar dlam waktu dkat ini.
fam akan segera follow up kmbali.",house
737,kunjungan kons tidak dirumah Fu by phone jb tgl 13,house
2915,visit ke kantor usaha konsumen masih usahakan dana,business location
2257,viist ketempat saudara kons karena kons sudah pindah alamat ke daerah pekan baru.ram fu via telpon jb paling lambat tgl 12,other family house
1043,Visit Ke Asrama Kopasus Info Ybs sedang mengupayakan dana dan angsuran akan  segera di bayarkan akan direvisit,others
1118,Bayar partial. ketemu di dkt kantor,others
2582,"Ram visit ke tmpt mertua kons, ketemu pasangan, pasangan janji bayar tanggal 16, menunggu transfer dari kons.",other family house
2523,"kunjungan cust di alamat suadara, bayar partial pp Alfamidi",other family house
370,Fu lewat WhatsApp by phone info kons JB tanggal 19 akan dikawal,unknown
1198,bertemu kons di Indomaret jl Ciptodan kons byr by EDCkons baru aja sembuh dar sakit yg mengakibatkan adanya tunggakan,others
1351,kunjungan ketempat kerja ybs bertemu temen kerja info ybs sdg libur. unit ada. by phone belum respon. fu ulang,office
2073,vsit ke kostan sepi fu phone janji bayar tgl 15,other rent house
1318,COD di luar ketemu Sma yang pemakai unit pembyaran angsrn parsial ,others
1944,kontrakan tidak ada orang Fu kembali,other rent house
1427,visit ke alamat kerja debitur jb tgl 7 tunggu gajian suami,office
886,berkunjung ke rumah konsumen . rumah konsumen dalam keadaan kosong.akan di visit kembali,house
3035,ke tempat usaha Konsumen ada janji bayar tgl 8 kemarin. Masi usahakan dana.,business location
2488,dibayar current via payment point Alfamart terdekat saat kunjungan ke tempat orangtua konsumen,other family house
2234,"visit kontrakan Ketemu keluarga kons, titip pesan, kons sedang keluar dengan pasangan, FU telpon belum direspon, akan divisit kembali.",other rent house
2284,kunjungan kerumah istrinya krn sudah cerai. unit ada punya ybs. jb tgl 2,other family house
2346,"visit ke tempat kerabat, sudah melakukan pembayaran via Alfamart",other family house
1313,kons bayar kemaren cod an di wilayah Jenu. sekarang saya input kembali di kantor sebelum saya setor biar ngaruh prestasi activity ,others
585,rumah sepi sp3 di selip pintu  by phone belum ada jawaban fu,house
2794,visit ke alamat usaha kons info kons sedang di luar prihal bayar akan di bayarkan tanggal 15 fu kembali,business location
1599,visit tagging dikantor kons by phone jb hari ini,office
2460,"kunjungan ke alamat kakak konsumen, konsumen bayar partial di Alfamart",other family house
612,rumah tutupan bertemu orang tua ket pk kerja istri keluar by phone no respon revisit,house
108,kons pindah  unit bersama kons. push penbayran sesuai sp 3,unknown
310,kapasitas bayar minim,unknown
1865,fam visit mlm SDH ketuk2 pintu pagar TDK ada yg kluar alamat tagih kost2an ,other rent house
2030,tervisit di kost2an debitur bertemu dengan debitur ada jb bln in. unit ada saat di visit.,other rent house
2814,"visit dan bertemu dengan konsumen di tmpt usaha nya. 
info nya bahwa konsumen akan dibayarkan sebelum akhir bulan. 
akan dilakukan visit ulang utk kawal pembayaran angsuran nya",business location
3106,"Visit ke tempat usaha kons dalam keadaan tutup, info dari security konsumen biasanya ada di pagi hari. Warung katanya habis kemalingan, diusahakan JB maksimal tanggal 20.",business location
1339,visit konsumen ngejak cod nan di depan salsa Pati dan konsumen sekalian periksa di ksh Pati dan konsumen janji bayar nunggu gajian dan mau di lunasi semua 3 kontrak di bfi dan nawar potongan srmua,others
2598,"Ram visit ke alamat keluarga kons, tdk tahu kabar kons, akan dilakukan pelacakan.",other family house
1565,vsit tempat kerja kons ketemu kons kons karakter tdk mau bayar dan kons akan ke kantor untuk wajib lapor unit tdk adaa saat melakukan pengiputan HP mati total,office
1165,visit ketemu kons di alfamart kons jb besok akan fam fu,others
871,fam visit kerumah debitur bertemu orangtua debitur sedang bekerja fam titip pesan dengan orangtua akan visit kembali ,house
3112,"Kunjungan ke alamat usaha kons, kons belum bayar angsuran karena usaha menurun, katanya baru bisa diusahakan JB maksimal tanggal 20.",business location
1151,ketemuan di alfa sambong jaya dengan kons byar parsial edc,others
2369,"datang ke alamat kerabat kons, sudah transaksi di minimarket Alfamart",other family house
1628,"ketemu konsumen di kantor melakukan pelunasan
usaha bangkrut unit mau di jual",office
1602,visit ke kantor konsumen namun konsumen TDK ad di kantor dan sekertaris dan bendahara yg biasa byr sdh 2 Minggu TDK ad di kantor,office
3117,"pic visit ke usaha ybs dan ketemu kons, konsumen minta waktu sehabis lebaran untuk bayar",business location
1782,visit tempat kerja atu kantor kons. info rekan kerja kons tidak masuk hari ini karna sakit. akan kembali fu,office
1434,visit ketempat kerja brtmu kons dana masih mengupayakan andalkan dari gaji pasangan masih cari dana talang juga FAM push secepatnya Fu ulg,office
2156,visit kontrakan ketemu kons unit ada tgu dana dari ortu,other rent house
2310,pas visit ketemuan sama pihak keluarga berbeda alamat karna ibu nasabah lagi di rawat di Siloam karna sakit info nya  lalu Sam sodara di hubungi info nya janji byr angsuran nunggu pinjaman dari sodara nya   ,other family house
2409,transaksi sudah dilakukan konsumen via payment point Alfamidi ketika berkunjung ke rumah keluarga,other family house
224,kunjungan bertemu konsumen dana masih di upayakan angsuran akan di bayarkan setelah lebaran akan direvisit,unknown
749,Vist kons kerumah bertemu Satpam unit tidak terlihat. Info Satpam kons sedang keluar. FAM titip pesan. ,house
1322,cod ketemu deb di tmpt lain diusahakan bayar tanggal 15 dan unit tdk terlihat,others
941,ketemuan sama suami YBS di pom bensin BSD biasa yang bayar angsuran suaminya misalkan pembayaran JB tanggal 19 unit ada dipakai suaminya angsuran terakhir,others
2227,"Visit ke kos2an kons, tidak ketemu kons,revisit minggu depan.",other rent house
285,press bayar maks tgl 15,unknown
1108,Interaksi dengan pasangan konsumen di kantor perpustakaan untan baru bisa melakukan pembayaran karena gaji serta tunjangan baru di bayar kan unit masih dalam penguasaan konsumen.,others
1626,visit tdk ketemu kons Fu kons tdk merespon feam tag di kantor soalnya di alamat kons jaringan tidak bgs feam visit kembali ,office
1068,bertemu ybs di jatiluhur ada jb besok menunggu dari hasil usaha ,others
2240,"Visit ke kos, tidak bertemu kons, info dari keluarga kons sedang keluar, fam akan revisit minggu depan.",other rent house
910,visit di alamat lain konsumen tidak ketemu by phone konsumen bayar 2 bulan,others
1619,ketemu konsumen kekantorjanji bayar nunggu tagihan rentaldan diusahakan sebelum akhir bulan,office
129,sudah di cek melalui amor konsumen sdh bayar 2 angsrn tgl 9/7/24 melalui paymentpoint . ,unknown
2730,Visit kealamat usaha bertemu pasangan unit masih dikuasai usaha agak menurun tertagih partial,business location
2276,"dikunjungi kealamat rumah anaknya selaku yang bertenggung jawab untuk angsurannya
dan rumah sepi by phone jb tgl 14
ybs berkerja sebagai driver maksim",other family house
3003,"Visit alamat usaha kons bertemu dengan karyawannya, kons masih mengusahakan dana.",business location
890,visit kerumah kons kosong tdak ada orang by phone masih nggu kiriman dari anak ,house
1498,saat kunjungan ketempat kerja kemarin aplikasi error  tidak bertemu konsumen by phone angsuran masih di usahakan,office
1703,ketemu konsumen kekantorjanji bayar mlesetkarena tagihan belum keluarusaha baru sepiunit pinjam disaudaranya solo.,office
1633,lacak ke tempat kerja kons RAM ketemu warga  infonya kantor sudah tutup ??2 tahun yang lalu & warga kurang tau kemana pindahnya lacak ulang.,office
1963,kunjungan alamat kost kons. press bayar mksml sblm tgl 04,other rent house
1668,Visit di kantor konsdi kantor kelurahan kapas.Ketemu konskons masih tunggu tukin cair.Jb tanggal 24 april,office
1964,visit di tempat kost. kapasitas bayar minim. unit dikuasai orang tua,other rent house
3141,"Tidak bertemu dengan konsumen di tmpt usaha, fam akan visit kembali.",business location
84,kons JB tgl 13 byr partial dulu,unknown
1091,bertemu dg konsumen di samping kantor bfi baayar 1 bulan,others
560,kinjungan kealamqt tagih kons belum ada balik di byohone selalu janji bayar info keluarga unit ada tapi fam tidak oernah melihat unitnya oencairan dana dibagi 3 oleh kawan nya an rio dan ambar semua nya di hubungi selalu jawaban sama . ,house
1815,visit ke kontrakan kons kontrakan sepi by phone kons respon terkait angsuran kons jb tgl 5 akan di Fu kembali,other rent house
708,Visit ke rumah tidak ketemu kons  info masih berada di luar daerah (lelilef). . hub by di usahakan bayar hari ini. . unit di pakai kerja di luar daerah. . ,house
2222,"Fam revisit ke kos kons, kons tidak ada,revisit",other rent house
549,vst almt ybs karakter bayar buruk ybs tunggu gaji di akhir bln,house
937,Unit ada.. ketemu dngn ybs d pom bensin maskar patokbeusiybs bayar 1 bulan..,others
1901,visit kons tidak ada di kostan Fu kons belom di respon.,other rent house
2244,"Visit ke kos kons, bertemu dengan ybs, info dari ybs masih menunggu transaksi uang dari tanah, unit masih dikuasai, info dari ybs sebelum tanggal 21, PIC akan pastikan ybs bayar sebelum tanggal 21.",other rent house
2465,"alamat saudara telah di visit, bayar via Alfamidi dilakukan konsumen",other family house
660,visit kerumah kons bertemu kons ktersngan tunggu gaji minggu ini pres bayar,house
1709,visit ketemu nasabah di kantor dan kons tidak mau bayar 2 dan mau dtg ke kantor besok buat komplin. fu,office
1449,visit ke tempat kerja kons kons sudah pindah. kons minta waktu sedang mengusahakan dana,office
633,Fam visit di alamat rumah konsumen dan mengantarkan SP3 tetapi rumah konsumen sudah hampir dua minggu kosong dan mencari info di tetangga sekitar infonya konsumen saat ini berada di lembaga dikarenakan ada kasus konsumen dan istri konsumen pulang ke kampungnya via telepon istri konsumen masih sementara mencari dana talangan dari keluarga,house
677,taging sistem berbeda dan kunjungan ke rumah kons tidak ada orang kons menghindar by phone tidak ada respon unit tidak terlihat akan di visit dan di fu kembali,house
1380,visit ke alamat kerja kons bertemu dengan atasan kerja kons fam tanyakan ybs kata atasan ybs tidak datang ke kantor fam tanyakan alamat rumah ybs pada atasan kons tidak tahu fam titipkan pesan pada atasan ybs prihal pembayaran angsuran bfi yg harus di bayarkan maksimal besok fu by phone kons tidak koperatif tidak sama sekali membalas pesan fam fu ulang,office
186,kons sendiri janji dilunasi dan masih nunggu tf uang penjualan mobil.. kons sendiri juga punya kontrak aktif di bfi atas nama aminuddin ,unknown
2503,"tempat mertua telah didatangi, pembayaran via payment point alfamart telah dilakukan",other family house
2980,dikunjungi di alamat usaha tidak bertemu kons bertemu keluarga kons ybs masih mengusahakan dana,business location
2078,fu kost sepi info kons sdh meninggal proses klaim asuransi,other rent house
2209,"Konsumen dan unit tidak ada, cek ibu kos, kons tidak dikenal.",other rent house
1468,visit ketempat kerja pk dan tutup fu by hp no respon info lain masih sama fu selanjutnya ,office
1526,bertemu dengan pasangan di kantor dan jb sebelum tgl 24 hari ini konsumen bayar yg kontrak Inova ,office
2334,Visit alamat saudara debtdebt usaha tidak begitu jalannunggu uang dari anak yang di luar negri,other family house
1451,visit ketempat kerja kons  bertemu dengan kons info nya masih mengumpulkan uang dari hasil jualan di pres dalam Minggu ini melakukan pembayaran selanjutnya akan di visit kembali dan di Fu lagi untuk unit ada terparkir di depan te.pat kerja kons. note titik teging smc tidak sesuai karna teging di tempat kerja. ,office
1306,cod alun alun pk jb tgl 27 ada 3 ctr ,others
964,visit ke alamat terbaru konsumennamun konsumen tidak ketemu terpantau unit dipakai keluarga konsumenakan di Fu kembali,others
1315,tertagih satu angsuran kapasitas kons minim cod dengan kons di luar wilayah. fu,others
2709,di rumah sekligus tempat usaha nya tidak ada orangtanya tetangga skitr juga tdk ada yang tauby fone belum ada respon fu,business location
2673,visit rmh ex istri info kons sudah pindah tdk tau alamat tinggal yg baru,other family house
2991,visit ke alamat usaha kons bertemu dengan pegawai kons konsumen masih usahakan dana dari hasil usaha jasa las yang di geluti kons.,business location
2306,visit ke rmh ortu konsumen konsumen di bali kerja di  sana jdi abk anak buah kapal unit ada by phone belum respon fu ulang,other family house
1378,visit tempat kerja rekan kerja bilang tidak tau. visit ulang alamat rumahnya. konsumen kerja sbrg security di dealer mitsubishi jl jogja solo jogonalan,office
3131,"Ram visit ke tempat usaha tdk bertemu ybs hanya ketemu karyawan, JB tgl 16 via telp.",business location
911,kunjungan ke tempat anak konsumen biasa antar barang atau pasir dan batu di amprak dan info anak konsumen pembayaran akan dilakukan di minggu ini tunggu transferan atau dana masuk dari PT,others
2690,"Visit ke rumah keluarga kons, ketemu kons dan kons masih usahakan dana, akan bayar akhir bulan.",other family house
2361,"berkunjung ke alamat orangtua, berhasil bayar lewat minimarket Alfamart",other family house
1389,"fam visit ke alamat kerja al azhar 57 di citra raya city bertmu satpam tidak ada yang kenal kons info satpam mungkin kons bekerja di sekolah al azhar kabupaten batang hari akan fam lacak lagi
note: fam lacak kons di al azhar di citra raya city pematang gajah",office
2533,"visit alamat orangtua, kons sudah bayar di pp Alfamart",other family house
1357,visit di alamat kerja pembayaran angsuran sekaligus anak konsumen atas nama Farisa info konsumen belum masuk by phone JB hari ini,office
2308,visit ketempat saudara kons menurut info didapat kons masih mencari kekurangan angsuran,other family house
694,rumah tutupan by phone belom respon fu ulang,house
2220,"Fam visit ke kos, tidak ketemu kons, fam akan coba hubungi lewat telepon",other rent house
2857,visit tempat jualan kons dan kons tdk ada fam ketemu keluarga kons dan fam Fu WA suami kons sementara masih menunggu gajian dan suami kons usahakan hari senin,business location
2137,bertemu dengan ybs di kostny dan cumn bisa byr satu angsuran ajh soal ny emang cumn mmpu satu ngsuran ajh,other rent house
1928,visit k kos nasabah jb d usahakan belum ada dana,other rent house
983,Visit ke alamat lain di candirenggo singosari bertemu konsumen belum bisa bayar dana masih minim menunggu tf teman press bayar maks kamis fu ulang,others
97,Fu lewat by phone dan WhatsApp belum ada kepastian pembayaran dari kons akn di kunjungi ,unknown
2459,"kunjungan alamat saudara, konsumen bayar current di Alfamart",other family house
1207,ketemuan sama suami ybs di Indomaret Kademangan suami ybs pekerjaan grab car. biasa yang bayar angsuran suaminya.jb tgl 10 . ,others
1096,"
Keberadaan unit 	:	Ada
Kendala tidak bayar	:Visit di alamat Survei Minta waktu hari senin karna setaunya konsmuen sudah lunas angsuranya dan mau komplain di kantor Jb pelunasan 22/07/2024 ",others
2837,ke alamat usaha anak konsumen@fine bar di daerah Gading Serpong info pemilik gedung peniti@finebar sudah tutup Adapun barang-barangnya masih tersisa dihubungi tidak respon,business location
1297,cod dengan Kons sebelah tempat kerja JB tgl 25,others
233,ketemu kons masih sementara tunggu dana dari upah kerja dikapal pres minggunini,unknown
2627,"Visit ke alamat mertua kons, mertua bilang kons lg kerja dan hp tdk aktif, akan dihubungi ulang setelah lebaran.",other family house
854,debitur tidak ada di rumahinfo dari tetangga nya lagi pergi ke luar kota,house
445,konsumen info tentangga masih di alamat unit tidak terlihat akan di cari info Fu tidak ada eespon,unknown
24,pnekanan pmbyaran hr ini,unknown
2455,"visit alamat saudara, kons bayar current di payment point Alfamart",other family house
2038,vsit ke kost blm ada uang unit dititip dulu,other rent house
2413,"Alamat kerabat konsumen telah dikunjungi, pembayaran telah dilakukan di Alfamart",other family house
2438,"alamat orangtua dikunjungi, sudah dibayar konsumen via payment point Alfamart",other family house
2002,Tidak bertemu saat kunjungan ke alamt kosnya. By phone jb tgl 17 fam menolak paling lama penekanan tgl 13,other rent house
358,konsumen tidak ada di tempat,unknown
60,fam bertemu dengan keluarga konsumen baru melakaukan pembayaran 1 kontrak dan masih tggu setoran supir,unknown
2526,kons sudah bayar di pp Alfamart saat visit ke alamat mertua kons,other family house
2569,"Ram visit ke tmpt ayah kons, ayah tidak tahu posisi unit, bilang kons baru pulang kerja nanti sore. Akan di FU sore ini.",other family house
1690,Bertemu dengan konsumen di kantor unit ada janji bayar tgl 21/04/2024.,office
1040,visit di alamat lain dan phone BAYAR 1 bulan/debitur pindah kost di bagian Morosi dan ybs skrg masih di Konut ,others
809,visit alamat rumah fam sudah bertemu konsumen dan istri fam isi kembali Collection aktivitinya karna eror sudah 3x statusnya belum complet konsumen jb tgl 9 Mei kapasitas bayar minim. ,house
2833,visit di alamat usaha anak konsumen selaku pemilik unit anak Konsumen tidak buka hari ini by phone konsumen JB tanggal 20 untuk sisa 2 bulan angsuran nya lagi tunggu dana kos pembayaran anak kosnya akan di fu kembali,business location
2010,bertemu konsumen di alamat kostnya dan JB Minggu ini konsumen masih menunggu kiriman dari pasangan ,other rent house
3074,"visit ketempat usaha. kons diusahakan bayar besok, akan di fu kembali.",business location
817,konsumen tdk dirumah ketemu keluarga infonya konsumen tdk dirumah dan tdk peduli tentang konsumen,house
807,saat visit kerumah konsumen tidak bertemu dan Fu by phone konsumen tidak ada respon ram akan revisit kembali,house
2932,visit k tmpt usaha bertemu dengan anak debitur sekaligus pelaku bayar katanya sembtra mengusahakan dana akan bayar secepatnya,business location
1288,cod nan di sorum bengkel Suzuki dersalan konsumen nyerviske mobile dan konsumen janji bayar lewat pp sebelum akher bulan unit ada,others
1493,bertemu konsumen ditempat kerja(kostel) janji pembayaran diawal bulan tanggal 1. unit ada,office
1254,bayar kemarin COD nan di daerah klaten kota,others
1926,bertemu ibu kost. db sudah pindah. lacak k tempat kerja. by phone ada jb tgl 9,other rent house
1935,Bayar 1 angsuran via alfamart ybs tidak mau pembayaran cash atau edc uang hasil kontrakan baru kekumpul,other rent house
1515,"sudah di input sebelumnya namun masih pending input ulang di kantor
pemakai dana orangtua kons by phone orangtua minta waktu sedang mengusahkan dana",office
1171,visit fc bertmu suamicybs di tempat alfa dramaga yang sudah di janjian suami yba tdk mau di foto suami ybs bayar via alfa dan bukti terlampir ,others
1360,kons hanya mampu bayar partial karena gajinya belum di bayar sama bosnya dan ketemu di tempat kerja kons. ,office
2815,Alamat usaha sudah tidak di tempati visit ulang di alamat debt di daerah rejotangan ,business location
752,kons tidam ada dirumah masih bekerja fu by phone jb maksimal. sabtu,house
1474,visit ke tempat kerja kons saat ini baru ada uang 1jt. akan di usahakan sore ini utk pinjam uang keluarga dan bayar full akan di fu kembali.,office
829,Visit kerumah pemegang unit namun dalam keadaan sepi tidak ada yang keluar dari rumah via telfon pemegang unit sedang tidak ada dirumah dan masih mengusahakan dananya,house
1905,ke almat kost yg baru debt sdh pindah jga blm tau dmn by tof n wa jb bayar tggu gajian unit di debt.kerjaan debt les baru,other rent house
2927,visit ke tempat usaha unit tdk terlihat kons sedang mengusahakan untuk bayar,business location
1028,fam sudah visit dan foto selfie tp tidak bisa update activity karena smc error fam visit ke sekolah anak di yayasan guntur nusantara sblmnya sudah dpt nomer tlpn ibu kons tp di blok lagi alamat baru blm diketahui karena dr pihak wali kelas murid tidak tau alamat baru kons nomer kons tidak aktif akan di revisit kembali karena td visit anak masih libur krna kelas 6 ujian,others
75,kons ada 2 kontrak sudah di tangani profcol ,unknown
2616,"Fam visit ke tmpt paman debitur, ketemu paman, paman janji akan sampaikan ke debitur soal pembayaran, revisit minggu depan.",other family house
2790,input ulang kemarin smc eror.visit k tempat usahatempat tinggal yg sekarang di desa susukan agung tdk ada orangdi telp tdk di respondi wa jb tgl 22 april fu kembali,business location
1180,"ketemuan dengan anak konsumen di Indomaret Sanrio Mojokerto 
bayar satu angsuran ",others
1814,visit ke kontrakan Bru konsumen tidak bertmu konsumen ram manggil2 namun tidak ada orang juga di Fu wa juga tidak respon....ram akan nunggu kons di kontrakan nya,other rent house
3121,"pic ke alamat usaha, ketemu kons, kons pindah alamat dan komunikasi via WA masih usahakan dana",business location
2202,"Revisit ke alamat kontrakan, kons tidak ada. Fam akan visit kembali.",other rent house
723,rumah kosong Unit tidak ada by phone belum respon revisit,house
54,Kons sudah bayar via payment point,unknown
68,konsumen lagi kerja fam bertemu istrinyaada janji bayar sebelum jatuh tempo,unknown
763,kunjungan ke alamat pemakai dana anak kons rk unit ada depan rumah di hubungi via telpon anak kons belum respon fam akan fu kembali. ,house
2287,Visit ke alamat rumah orang tua konsumen sudah meninggal 3 Minggu yang lalu ibu konsumen tidak tau menau masalah ini fam arahkan ke kantor cabang pengajuan agar membawa surat kematian dan data konsum untuk laporan fam akan fu kembali terimakasih ,other family house
1542,ketemu d kantor. ks tidak ada itikat baik,office
892,sudah bertemy pksudah ada jbi put tdk dilokasi rumah pki put pemenuhan daily,house
2446,"sebelumnya sudah melakukan visit, saat visit ke rumah mertua konsumen, sudah bayar via Alfamidi",other family house
2144,kunjungan bertemu kontrakan pk. pk bekerja di rumahmakan jb tgl 16 nunggu gajian,other rent house
1347,Bayar cod di lowokjati,others
713,tdk ada orang dirumah sdh di hubungi berkali kali tapi tdk dijawab info dari tetangga sedang keluar,house
593,konsumen tidak ada dirumah telpon kons janji bayar dalam Minggu ini masih tunggu uang kerja proyek ,house
2014,visit kost kons tidak ada unit d gadaikan tidak terlihat pemakai dana konsumen akan d lacak unit konsumen,other rent house
2667,fam visit krmh adik konsumen dan kons belum ada dana fam tekankan pembayaran angsuran sesuai tunggakan segera ,other family house
2780,sudah divisit ktmpat usaha kons lagi keluar tipes kekaryawan akan Fu kembali,business location
1828,konsumem dan unit raib tidak diketahui keberadaannya cek pengelola kost kons tidak dikenal. kamar sesuai alamat tagih sudah ditempati orang lain. msh pelacakan unit,other rent house
1989,bertemu ybs di kost ybs gaada bawa cash dan arahin pembayaran di PP,other rent house
1400,kons pindah alamat hub via tlp kons tidak ada respon. visit ke tempat kerja suami sudah Lamat berenti kerja. share matel,office
511,dbtr TDK di alamt di hub ada JB unit info msh dlm penguasaan dbtr akan di fu kembali ,house
2643,"Kunjungan ke rmh ortu kons, konsumen sedang di luar kota urusan kerja, by phone tdk diangkat, infonya akan bayar tgl 13.",other family house
1742,ketemu kons di tempat kerja dan kemudian kons tdk mau bayar ke pihak internal dan konsumen di arahkan ke kantor untuk bayar 2 bulan,office
2087,bertemu di tempat kostnya pk baru jualan pres besok bayar,other rent house
3008,"Visit ke alamat usaha, kons masih mengusahakan dana dan suami minta jb tgl 20.",business location
1371,taging di sistem tdk sesuai dengan rumah debitur sebenarnya dikunjungi ke tempat kerja ketemu konsumen msh menunggu uang bonus sebagai sales hari ini paling lambat dalam minggu ini unit msh dpake konsumen kerja,office
1294,cod di alfamart perempatan panjang. unit di sewakan. rencana mau menjual unit buat pelunasan,others
